Datetime,Tweet Id,Text,Username,url
2022-01-21 23:52:03+00:00,1484675187048009731,#BLM #BlackLivesMatter #StopAsianHate #LatinasLivesMatter https://t.co/0ZL15v2TV5,treyIance09,https://twitter.com/treyIance09/status/1484675187048009731
2022-01-21 23:46:15+00:00,1484673728160186370,"Watch the vigil by @chingjuhl and remember this horrific attack on Yao Pan Ma together. Don’t let him die in vain. Demand safety for all the vulnerable people in the city. Please retweet. https://t.co/4fGNq3VHO7

#YaoPanMa #MentalHealth #StopAsianHate #homelessness https://t.co/5XBppw7uqH",umasianalliance,https://twitter.com/umasianalliance/status/1484673728160186370
2022-01-21 23:43:29+00:00,1484673033734594560,#StopAsianHate https://t.co/5b6jBgqu3e,phlpvry,https://twitter.com/phlpvry/status/1484673033734594560
2022-01-21 23:32:52+00:00,1484670360687562752,@wstnR6 #StopAsianHate,AlrightCrow,https://twitter.com/AlrightCrow/status/1484670360687562752
2022-01-21 23:25:49+00:00,1484668585570189314,"#StopAsianHate 
#StopAsianHateCrimes https://t.co/PRgkG2uHXO",romegeorgiaman5,https://twitter.com/romegeorgiaman5/status/1484668585570189314
2022-01-21 23:24:17+00:00,1484668200172367882,"“I have decided to stick to love…Hate is too great a burden to bear.” - MLK Jr

Thank you for your courageously vulnerable sharing, Amy M. Le.

Together we will #standupforaapi and  #stopasianhate.

#love #light #rightaction https://t.co/H4KiFCeefY",tdahlborg,https://twitter.com/tdahlborg/status/1484668200172367882
2022-01-21 23:22:13+00:00,1484667678505775115,#StopAsianHate https://t.co/QUD5RuFJGH,Goblin1082,https://twitter.com/Goblin1082/status/1484667678505775115
2022-01-21 23:21:35+00:00,1484667520875438080,"Challenges of being Asian and surveying...be careful out there George!

#StopAsianHate https://t.co/FFq5lt2jIA",ChoHeeShrader,https://twitter.com/ChoHeeShrader/status/1484667520875438080
2022-01-21 23:01:54+00:00,1484662568094515210,"Report discrimination and harassment to @NYCCHR at 212-416-0197 or online at https://t.co/iMWlJ7ihs6. For more resources, visit https://t.co/W5oQYJQLfQ or https://t.co/9wJ74hR9Xh

#StopAsianHate #StopCOVIDHate",NYCImmigrants,https://twitter.com/NYCImmigrants/status/1484662568094515210
2022-01-21 23:00:27+00:00,1484662201344573442,"Michelle Go's death hasn't been labeled a hate crime but it adds to the fear that Asian Americans feel - CNN 

#CriminalLaw #Justice #LawEnforcement #StopAsianHateCrimes
#StopAsianHate 
 https://t.co/tZPMZHumOq",Foxmental_X,https://twitter.com/Foxmental_X/status/1484662201344573442
